identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.01188	0.0001188
Algorithm:ParticleSelector	0.001935	1.935e-05
Algorithm:FatrasSimulation	0.9418	0.009418
Algorithm:DigitizationAlgorithm	0.2027	0.002027
Algorithm:SpacePointMaker	0.02179	0.0002179
Writer:CsvParticleWriter	0.08415	0.0008415
Writer:RootParticleWriter	0.01862	0.0001862
Writer:CsvParticleWriter	0.06699	0.0006699
Writer:RootParticleWriter	0.01616	0.0001616
Writer:CsvSimHitWriter	0.9516	0.009516
Writer:RootSimHitWriter	0.2639	0.002639
Writer:RootMeasurementWriter	0.3495	0.003495
Writer:CsvSpacepointWriter	0.2286	0.002286
Writer:RootSpacepointWriter	0.04956	0.0004956
Writer:CsvParticleWriter:endRun	1.31e-07	1.31e-09
Writer:RootParticleWriter:endRun	0.207	0.00207
Writer:CsvParticleWriter:endRun	1.53e-07	1.53e-09
Writer:RootParticleWriter:endRun	0.1662	0.001662
Writer:CsvSimHitWriter:endRun	1.55e-07	1.55e-09
Writer:RootSimHitWriter:endRun	0.05558	0.0005558
Writer:RootMeasurementWriter:endRun	0.1001	0.001001
Writer:CsvSpacepointWriter:endRun	3.63e-07	3.63e-09
Writer:RootSpacepointWriter:endRun	0.05564	0.0005564
